RUN	BearStrengthSimulation	bearstrengthsimulation	1562681293171	 	3.1.2
USER	Buying Tickets	7	START	1562681294410	1562681294410
USER	Buying Tickets	22	START	1562681294420	1562681294420
USER	Buying Tickets	1	START	1562681294408	1562681294408
USER	Buying Tickets	10	START	1562681294410	1562681294410
USER	Buying Tickets	3	START	1562681294408	1562681294408
USER	Buying Tickets	23	START	1562681294424	1562681294424
USER	Buying Tickets	20	START	1562681294423	1562681294423
USER	Buying Tickets	24	START	1562681294435	1562681294435
USER	Buying Tickets	26	START	1562681294462	1562681294462
USER	Buying Tickets	28	START	1562681294463	1562681294463
USER	Buying Tickets	29	START	1562681294463	1562681294463
USER	Buying Tickets	30	START	1562681294463	1562681294463
USER	Buying Tickets	31	START	1562681294463	1562681294463
USER	Buying Tickets	33	START	1562681294464	1562681294464
USER	Buying Tickets	32	START	1562681294464	1562681294464
USER	Buying Tickets	8	START	1562681294410	1562681294410
USER	Buying Tickets	12	START	1562681294410	1562681294410
USER	Buying Tickets	38	START	1562681294465	1562681294465
USER	Buying Tickets	16	START	1562681294411	1562681294411
USER	Buying Tickets	40	START	1562681294465	1562681294465
USER	Buying Tickets	39	START	1562681294465	1562681294465
USER	Buying Tickets	41	START	1562681294465	1562681294465
USER	Buying Tickets	42	START	1562681294465	1562681294465
USER	Buying Tickets	11	START	1562681294410	1562681294410
USER	Buying Tickets	44	START	1562681294466	1562681294466
USER	Buying Tickets	45	START	1562681294466	1562681294466
USER	Buying Tickets	43	START	1562681294466	1562681294466
USER	Buying Tickets	46	START	1562681294466	1562681294466
USER	Buying Tickets	35	START	1562681294464	1562681294464
USER	Buying Tickets	47	START	1562681294467	1562681294467
USER	Buying Tickets	49	START	1562681294467	1562681294467
USER	Buying Tickets	48	START	1562681294467	1562681294467
USER	Buying Tickets	50	START	1562681294467	1562681294467
USER	Buying Tickets	51	START	1562681294467	1562681294467
USER	Buying Tickets	52	START	1562681294467	1562681294467
USER	Buying Tickets	53	START	1562681294467	1562681294467
USER	Buying Tickets	54	START	1562681294467	1562681294467
USER	Buying Tickets	55	START	1562681294467	1562681294467
USER	Buying Tickets	56	START	1562681294467	1562681294467
USER	Buying Tickets	57	START	1562681294468	1562681294468
USER	Buying Tickets	58	START	1562681294468	1562681294468
USER	Buying Tickets	59	START	1562681294468	1562681294468
USER	Buying Tickets	60	START	1562681294468	1562681294468
USER	Buying Tickets	61	START	1562681294468	1562681294468
USER	Buying Tickets	62	START	1562681294468	1562681294468
USER	Buying Tickets	63	START	1562681294468	1562681294468
USER	Buying Tickets	64	START	1562681294468	1562681294468
USER	Buying Tickets	65	START	1562681294468	1562681294468
USER	Buying Tickets	66	START	1562681294468	1562681294468
USER	Buying Tickets	67	START	1562681294469	1562681294469
USER	Buying Tickets	68	START	1562681294469	1562681294469
USER	Buying Tickets	69	START	1562681294469	1562681294469
USER	Buying Tickets	70	START	1562681294469	1562681294469
USER	Buying Tickets	71	START	1562681294469	1562681294469
USER	Buying Tickets	72	START	1562681294469	1562681294469
USER	Buying Tickets	73	START	1562681294469	1562681294469
USER	Buying Tickets	74	START	1562681294469	1562681294469
USER	Buying Tickets	75	START	1562681294470	1562681294470
USER	Buying Tickets	76	START	1562681294470	1562681294470
USER	Buying Tickets	77	START	1562681294470	1562681294470
USER	Buying Tickets	78	START	1562681294470	1562681294470
USER	Buying Tickets	79	START	1562681294470	1562681294470
USER	Buying Tickets	80	START	1562681294470	1562681294470
USER	Buying Tickets	2	START	1562681294409	1562681294409
USER	Buying Tickets	81	START	1562681294470	1562681294470
USER	Buying Tickets	82	START	1562681294470	1562681294470
USER	Buying Tickets	83	START	1562681294470	1562681294470
USER	Buying Tickets	85	START	1562681294471	1562681294471
USER	Buying Tickets	86	START	1562681294471	1562681294471
USER	Buying Tickets	87	START	1562681294471	1562681294471
USER	Buying Tickets	88	START	1562681294471	1562681294471
USER	Buying Tickets	90	START	1562681294471	1562681294471
USER	Buying Tickets	89	START	1562681294471	1562681294471
USER	Buying Tickets	91	START	1562681294471	1562681294471
USER	Buying Tickets	92	START	1562681294471	1562681294471
USER	Buying Tickets	93	START	1562681294471	1562681294471
USER	Buying Tickets	94	START	1562681294472	1562681294472
USER	Buying Tickets	95	START	1562681294472	1562681294472
USER	Buying Tickets	96	START	1562681294472	1562681294472
USER	Buying Tickets	97	START	1562681294472	1562681294472
USER	Buying Tickets	98	START	1562681294472	1562681294472
USER	Buying Tickets	99	START	1562681294472	1562681294472
